VTD_ID,total_pop,pop_density,prop_white,prop_Black,prop_Hispanic,prop_AIA,prop_Asian,prop_married,prop_nonfamily,prop_family_nonmarried,prop_hs_diploma,prop_some_college,prop_bachelors,prop_higher,prop_under_hs,prop_under_30k,prop_30_to_50k,prop_50_to_100k,prop_more_than_100k,D_pct_vote,Weighted_ideology
26125125482,2618.042414,0.001267234,0.877301267,0.025598258,0.033360769,0.011162031,0.052577675,0.727494155,0.161669915,0.11083593,0,0.164969952,0.358254454,0.243462008,0.233313585,0.067317748,0.073728464,0.291637015,0.567316773,0.523248605,-0.2505031
26125125488,2450.254195,0.001733204,0.889327792,0.024073101,0.04357598,0,0.040252223,0.574849538,0.251073173,0.174077289,0,0.152984896,0.305246498,0.197399423,0.344369183,0.130659374,0.107738241,0.356893197,0.404709188,0.463742167,-0.128541182
26125125499,2483.761544,0.00110026,0.894291825,0.055900276,0.00528905,0,0.041213192,0.678107099,0.241301015,0.080591886,0,0.133618406,0.352656839,0.287904655,0.225820101,0.083932968,0.13352224,0.220251328,0.562293464,0.532091097,-0.27657833
26125125500,3088.469468,0.001451482,0.938491534,0,0.035107648,0,0.031600987,0.68306228,0.262802909,0.054134811,0.006178132,0.131243697,0.25,0.167244167,0.445334004,0.153990318,0.125602129,0.184346164,0.53606139,0.438679245,-0.053474057
26125125501,2792.382637,0.000932146,0.965805157,0.007651806,0.012175982,0,0.011875771,0.603896763,0.304200666,0.091902571,0,0.24362422,0.20154688,0.109550115,0.445278786,0.159047605,0.198228945,0.283216632,0.359506818,0.380153739,0.07534137
26125125502,1654.920821,0.000665838,0.971609472,0.007851971,0.020538558,0,0,0.630092368,0.292278167,0.077629465,0,0.193733055,0.294678136,0.147433107,0.364155701,0.082546945,0.074793957,0.274010509,0.568648589,0.36726128,0.108012329
26125125503,2412.931488,0.000143398,0.932677422,0.006007023,0.027593708,0.011675632,0.019121178,0.721765988,0.18499348,0.093240532,0,0.162852978,0.234392309,0.087306957,0.515447756,0.073713391,0.157900639,0.26306769,0.50531828,0.393617021,0.044833967
26125125504,2602.629466,0.000927437,0.904129086,0.039818962,0.024206505,0.003458041,0.020301943,0.644449363,0.277580247,0.077970391,0,0.14523225,0.28140786,0.095193602,0.478166288,0.127368392,0.185251557,0.218040369,0.469339682,0.451048951,-0.085993357
26125125505,2631.245227,0.000586734,0.931076707,0.01227642,0.021499794,0.013764383,0.020734594,0.517426671,0.361992095,0.120581234,0,0.113175441,0.217504268,0.089315659,0.580004632,0.190772617,0.194975365,0.349312387,0.264939632,0.434588385,-0.054547064
26125125506,2102.809458,0.000316114,0.931558935,0,0.032794677,0,0.017585551,0.693363844,0.186498856,0.1201373,0.0082435,0.217501585,0.185161699,0.123018389,0.466074826,0.138443936,0.068649886,0.35583524,0.437070938,0.388284519,0.058880126
26125125507,3529.002362,0.001093591,0.942759999,0.003683761,0.026919821,0.020402363,0,0.503746923,0.216486371,0.279766706,8.70E-09,0.146648117,0.184823185,0.049813787,0.618714902,0.16819308,0.283929852,0.3213989,0.226478169,0.418796992,-0.031513722
26125125508,2748.6493,0.001116029,0.971484571,0.00072763,0.011461246,0.002546707,0.013779848,0.457632446,0.362159764,0.18020779,0,0.174431173,0.154237236,0.048567799,0.622763792,0.19510902,0.147360206,0.392245354,0.26528542,0.482703138,-0.168435438
26125125509,3217.89605,0.000470675,0.972028951,0.019890528,0.008079963,3.72E-08,3.85E-07,0.559991239,0.230024781,0.20998398,0,0.20883387,0.164182339,0.108332452,0.518651339,0.178958085,0.173203337,0.272999202,0.374839377,0.429068755,-0.052372063
