state_po_district,county_fips,wgt_cfscore,cf_category,cf_label
WI06,55039,0.24617084886822216,1,Lean Conservative
WI06,55047,0.3768361403250715,1,Lean Conservative
WI06,55071,0.13645072873613218,1,Lean Conservative
WI06,55077,0.23201278772378509,1,Lean Conservative
WI06,55079,0.012896980461811647,1,Lean Conservative
WI06,55089,0.3114451620506775,1,Lean Conservative
WI06,55117,0.1558770931844845,1,Lean Conservative
WI06,55137,0.302098589424455,1,Lean Conservative
WI06,55139,-0.06374809969948736,-1,Lean Liberal
WI08,55009,0.03244294274173487,1,Lean Conservative
WI08,55015,0.28318253968253976,1,Lean Conservative
WI08,55029,0.0065420851367821165,1,Lean Conservative
WI08,55061,0.3261294390972453,1,Lean Conservative
WI08,55075,0.31779138321995465,1,Lean Conservative
WI08,55078,-0.7623776351970668,-2,Strong Liberal
WI08,55083,0.3913947310935385,1,Lean Conservative
WI08,55087,0.1069387126845448,1,Lean Conservative
WI08,55115,0.35515862918120256,1,Lean Conservative
WI08,55135,0.27857792754844146,1,Lean Conservative
WI08,55139,0.3396998854524629,1,Lean Conservative
