county_fips,total_pop,prop_White,prop_Black,prop_Hispanic,prop_AIA,prop_Asian,wgt_cfscore,cf_category,cf_label
26001,10353.0018842812,0.9577899881693006,0.003960207648199707,0.01497152194688974,0.013039703493293055,0.00550565409139531,0.27448751835535984,1,Lean Conservative
26003,9150.992577285864,0.8359741867053124,0.0767129491412789,0.015735989918535993,0.06578515653141748,0.0043711089951377355,-0.10217256422685395,-1,Lean Liberal
26007,28520.020930888244,0.9571178160143766,0.0057503536434532765,0.013779808795759815,0.010589051947352717,0.007538567578995825,0.04517333540517443,1,Lean Conservative
26009,23205.985208083268,0.9467378825186156,0.004309234572580678,0.023399143438286328,0.018228041898783052,0.004481601376163354,0.08842813503563884,1,Lean Conservative
26013,8420.970712003544,0.7262794268572919,0.09298194265085623,0.0159125916344083,0.1554447192244179,0.008787557795229536,0.04691782945736456,1,Lean Conservative
26019,17615.007282317118,0.9376100075515974,0.0018166283237650357,0.025035488277626906,0.02730627463674318,0.008742549832535699,-0.1178189708617483,-1,Lean Liberal
26023,43512.87758964888,0.9040516468805587,0.023027609200930988,0.04759497563296673,0.010962244669724137,0.011536780293428951,0.3149767194359453,1,Lean Conservative
26029,26187.963862542627,0.9374140886560819,0.004238580758347104,0.01997097050914731,0.025851535919034364,0.008057127992685549,0.021494269870609983,1,Lean Conservative
26031,25418.03026898871,0.920568085123865,0.00786844564617211,0.014399251617859085,0.04835156350945728,0.006806203942029892,0.12385789176546502,1,Lean Conservative
26033,37628.46929146646,0.6961653893099203,0.05928942106205176,0.01884182783050077,0.20258291057295977,0.016051454237801955,0.058202218061356836,1,Lean Conservative
26039,13891.895793901705,0.9452202891652443,0.0074143752959853655,0.020083516778255137,0.013964873312745742,0.010077653227027321,0.14650485436893212,1,Lean Conservative
26041,36025.94022667565,0.9286626249653627,0.0033586860143349296,0.013684560039939396,0.0432187947164303,0.008993504884659533,-0.007446057709979748,-1,Lean Liberal
26043,25438.947901808708,0.9493297744288346,0.0062109349242881595,0.015684578931933965,0.015605955103402814,0.012225323577942836,0.13779319487406105,1,Lean Conservative
26045,109455.7394072633,0.8283876628652941,0.06579812645960254,0.053912075742445074,0.015485676019761894,0.028221385459518182,-0.14752193141157077,-1,Lean Liberal
26047,33103.968885889786,0.9115816699086021,0.007340507960336944,0.016584098459430943,0.04957105703374599,0.011418560985873658,-0.031101384044109337,-1,Lean Liberal
26053,15060.916300222847,0.9010023728988338,0.03864289396083126,0.014607260075762027,0.03877579840721754,0.00670608103090201,-0.16674074074074063,-1,Lean Liberal
26055,92180.78234075742,0.9259392445813507,0.008646035850967546,0.028628434191579993,0.019754602493376208,0.012074052786979535,-0.16214712492010797,-1,Lean Liberal
26059,45756.86057234977,0.946565556144656,0.006796772463165967,0.023187711679132646,0.011823325350740488,0.0065345194437315055,0.3913395749292552,1,Lean Conservative
26061,36070.06469297807,0.9207374544079627,0.007346825354431543,0.016329358740665247,0.015386746760278016,0.03376767590642733,-0.07873166619837024,-1,Lean Liberal
26071,11151.971140995836,0.9438665247966593,0.005469870989569195,0.020982798810626993,0.020893158336551712,0.006725242277549152,0.006700186219739335,1,Lean Conservative
26075,158635.94283430246,0.8464344857501002,0.07693091398555012,0.03533247966845997,0.010407476603627031,0.012588570807287328,0.05256047388797502,1,Lean Conservative
26079,17585.14337998236,0.9413134079660154,0.008302538759883944,0.020130868627287454,0.019505332073049435,0.008075115897402615,0.20187309275853726,1,Lean Conservative
26083,2110.993785247601,0.967787824493166,0.009000452422522082,0.0080530503873742,0.015158678301637108,0.001894828132123908,-0.05090658499234302,-1,Lean Liberal
26089,21651.82633720034,0.900055504613803,0.0043414069066359615,0.04364490610613329,0.042582603273747126,0.008821340816395608,-0.2374497909432357,-1,Lean Liberal
26091,98380.65295827106,0.8666611630877626,0.022727991936961255,0.07971056626040646,0.013996607758855292,0.00831461191155417,0.030279891440920692,1,Lean Conservative
26095,6337.97267728112,0.7767437388196471,0.0651622846011135,0.03486898166714089,0.11580943426710102,0.008046673927281499,0.2052908400168848,1,Lean Conservative
26097,10779.997766252813,0.7312615717494058,0.032374760996653505,0.01771799860837212,0.20519483350130294,0.009740266158892924,0.09790602367072954,1,Lean Conservative
26101,24456.973388635903,0.8898475056077143,0.028090106966446097,0.03156560564200573,0.039743218446700986,0.008054952857260789,-0.07506634457768957,-1,Lean Liberal
26103,66685.84348411327,0.920852791506426,0.016570254873532773,0.015235631321672743,0.030741122492198084,0.011606660973969493,-0.37589768255356354,-1,Lean Liberal
26105,28953.985473504534,0.9145886538548869,0.009014301318215227,0.04565863161220109,0.016888856592544552,0.008979759934455938,0.12106092607636076,1,Lean Conservative
26109,23074.108041533906,0.9289244017960885,0.00316373749992189,0.01815898069559924,0.03722796747751467,0.006890870843917459,0.06628918980950205,1,Lean Conservative
26115,149726.1806173724,0.9130417082810331,0.02346937706773511,0.03579182182760058,0.00908987888617132,0.009570772083885628,0.059048195154112415,1,Lean Conservative
